DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa)
2018-03-09 00:00:26 +0800, BME280, 24.830000, 52.899414, 1022.307
2018-03-09 00:00:58 +0800, BME280, 24.760000, 53.068359, 1022.319
2018-03-09 00:01:34 +0800, BME280, 24.730000, 53.165039, 1022.327
2018-03-09 00:02:06 +0800, BME280, 24.700001, 53.140625, 1022.330
2018-03-09 00:03:42 +0800, BME280, 24.650000, 53.378906, 1022.331
2018-03-09 00:04:14 +0800, BME280, 24.639999, 53.333008, 1022.328
2018-03-09 00:04:46 +0800, BME280, 24.629999, 53.342773, 1022.286
2018-03-09 00:05:22 +0800, BME280, 24.629999, 53.354492, 1022.302
2018-03-09 00:07:00 +0800, BME280, 24.629999, 53.331055, 1022.334
2018-03-09 00:07:52 +0800, BME280, 24.629999, 53.263672, 1022.304
2018-03-09 00:08:24 +0800, BME280, 24.629999, 53.208984, 1022.311
2018-03-09 00:08:56 +0800, BME280, 24.620001, 53.184570, 1022.244
2018-03-09 00:09:30 +0800, BME280, 24.620001, 53.140625, 1022.239
2018-03-09 00:10:01 +0800, BME280, 24.620001, 53.062500, 1022.195
2018-03-09 00:10:41 +0800, BME280, 24.620001, 52.952148, 1022.167
2018-03-09 00:11:12 +0800, BME280, 24.620001, 52.894531, 1022.162
2018-03-09 00:11:44 +0800, BME280, 24.629999, 52.975586, 1022.142
2018-03-09 00:12:16 +0800, BME280, 24.670000, 52.633789, 1022.102
2018-03-09 00:12:57 +0800, BME280, 24.690001, 52.503906, 1022.146
2018-03-09 00:13:35 +0800, BME280, 24.760000, 52.176758, 1022.096
2018-03-09 00:14:06 +0800, BME280, 24.799999, 52.036133, 1022.102
2018-03-09 00:14:43 +0800, BME280, 24.809999, 51.935547, 1022.052
2018-03-09 00:15:15 +0800, BME280, 24.780001, 52.055664, 1022.026
2018-03-09 00:15:47 +0800, BME280, 24.820000, 51.725586, 1022.020
2018-03-09 00:16:19 +0800, BME280, 24.799999, 51.701172, 1022.043
2018-03-09 00:17:00 +0800, BME280, 24.799999, 51.622070, 1021.948
2018-03-09 00:18:33 +0800, BME280, 24.830000, 51.390625, 1021.895
2018-03-09 00:19:13 +0800, BME280, 24.809999, 51.333984, 1021.887
2018-03-09 00:20:50 +0800, BME280, 24.799999, 51.121094, 1021.878
2018-03-09 00:21:22 +0800, BME280, 24.770000, 51.285156, 1021.863
2018-03-09 00:21:54 +0800, BME280, 24.790001, 51.097656, 1021.828
2018-03-09 00:23:27 +0800, BME280, 24.820000, 50.911133, 1021.787
2018-03-09 00:24:06 +0800, BME280, 24.799999, 50.762695, 1021.730
2018-03-09 00:24:38 +0800, BME280, 24.780001, 50.983398, 1021.715
2018-03-09 00:25:12 +0800, BME280, 24.790001, 50.840820, 1021.688
2018-03-09 00:25:48 +0800, BME280, 24.770000, 50.881836, 1021.700
2018-03-09 00:26:20 +0800, BME280, 24.750000, 50.724609, 1021.658
2018-03-09 00:27:12 +0800, BME280, 24.740000, 50.801758, 1021.610
2018-03-09 00:27:54 +0800, BME280, 24.740000, 50.722656, 1021.657
2018-03-09 00:28:26 +0800, BME280, 24.770000, 50.649414, 1021.670
2018-03-09 00:28:59 +0800, BME280, 24.780001, 50.649414, 1021.705
2018-03-09 00:29:32 +0800, BME280, 24.780001, 50.537109, 1021.727
2018-03-09 00:30:04 +0800, BME280, 24.790001, 50.394531, 1021.771
2018-03-09 00:30:36 +0800, BME280, 24.799999, 50.416992, 1021.756
2018-03-09 00:31:10 +0800, BME280, 24.809999, 50.496094, 1021.757
2018-03-09 00:31:43 +0800, BME280, 24.790001, 50.372070, 1021.765
2018-03-09 00:32:17 +0800, BME280, 24.780001, 50.359375, 1021.736
2018-03-09 00:32:48 +0800, BME280, 24.809999, 50.171875, 1021.732
2018-03-09 00:33:29 +0800, BME280, 24.790001, 50.070312, 1021.782
2018-03-09 00:34:00 +0800, BME280, 24.809999, 50.049805, 1021.796
2018-03-09 00:34:39 +0800, BME280, 24.780001, 50.069336, 1021.732
2018-03-09 00:35:14 +0800, BME280, 24.809999, 49.893555, 1021.781
2018-03-09 00:35:47 +0800, BME280, 24.799999, 50.003906, 1021.778
2018-03-09 00:36:21 +0800, BME280, 24.790001, 50.092773, 1021.753
2018-03-09 00:36:53 +0800, BME280, 24.809999, 49.803711, 1021.757
2018-03-09 00:37:24 +0800, BME280, 24.799999, 49.737305, 1021.772
2018-03-09 00:37:56 +0800, BME280, 24.790001, 49.813477, 1021.788
2018-03-09 00:38:39 +0800, BME280, 24.809999, 49.715820, 1021.786
