DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa)
2017-12-22 00:00:04 +0800, BME280, 25.879999, 44.883789, 1021.759
2017-12-22 00:00:35 +0800, BME280, 25.900000, 44.920898, 1021.783
2017-12-22 00:01:07 +0800, BME280, 25.900000, 44.863281, 1021.785
2017-12-22 00:01:38 +0800, BME280, 25.920000, 44.842773, 1021.826
2017-12-22 00:02:10 +0800, BME280, 25.910000, 44.840820, 1021.756
2017-12-22 00:02:42 +0800, BME280, 25.910000, 44.853516, 1021.775
2017-12-22 00:03:13 +0800, BME280, 25.910000, 44.785156, 1021.778
2017-12-22 00:03:47 +0800, BME280, 25.889999, 44.794922, 1021.732
2017-12-22 00:04:19 +0800, BME280, 25.910000, 44.840820, 1021.751
2017-12-22 00:04:50 +0800, BME280, 25.900000, 44.817383, 1021.761
2017-12-22 00:05:22 +0800, BME280, 25.900000, 44.817383, 1021.875
2017-12-22 00:05:53 +0800, BME280, 25.900000, 44.807617, 1021.836
2017-12-22 00:06:25 +0800, BME280, 25.889999, 44.784180, 1021.798
2017-12-22 00:06:57 +0800, BME280, 25.910000, 44.831055, 1021.833
2017-12-22 00:07:28 +0800, BME280, 25.910000, 44.830078, 1021.817
2017-12-22 00:08:00 +0800, BME280, 25.900000, 44.863281, 1021.808
2017-12-22 00:08:32 +0800, BME280, 25.910000, 44.908203, 1021.802
2017-12-22 00:09:03 +0800, BME280, 25.900000, 44.919922, 1021.789
2017-12-22 00:09:35 +0800, BME280, 25.870001, 44.927734, 1021.755
2017-12-22 00:10:06 +0800, BME280, 25.889999, 44.974609, 1021.816
2017-12-22 00:10:38 +0800, BME280, 25.889999, 45.019531, 1021.777
2017-12-22 00:11:09 +0800, BME280, 25.900000, 44.986328, 1021.775
2017-12-22 00:11:41 +0800, BME280, 25.889999, 44.941406, 1021.774
2017-12-22 00:12:12 +0800, BME280, 25.830000, 44.934570, 1021.665
2017-12-22 00:12:44 +0800, BME280, 25.889999, 44.856445, 1021.757
2017-12-22 00:13:15 +0800, BME280, 25.879999, 44.951172, 1021.751
2017-12-22 00:13:47 +0800, BME280, 25.889999, 44.941406, 1021.750
2017-12-22 00:14:19 +0800, BME280, 25.889999, 44.929688, 1021.751
2017-12-22 00:14:50 +0800, BME280, 25.879999, 44.928711, 1021.786
2017-12-22 00:15:22 +0800, BME280, 25.879999, 44.904297, 1021.761
2017-12-22 00:15:53 +0800, BME280, 25.879999, 44.883789, 1021.742
2017-12-22 00:16:25 +0800, BME280, 25.889999, 44.862305, 1021.781
2017-12-22 00:16:56 +0800, BME280, 25.879999, 44.850586, 1021.750
2017-12-22 00:17:28 +0800, BME280, 25.870001, 44.860352, 1021.751
2017-12-22 00:17:59 +0800, BME280, 25.860001, 44.815430, 1021.687
2017-12-22 00:18:31 +0800, BME280, 25.860001, 44.802734, 1021.700
2017-12-22 00:19:02 +0800, BME280, 25.870001, 44.736328, 1021.699
2017-12-22 00:19:35 +0800, BME280, 25.860001, 44.780273, 1021.658
2017-12-22 00:20:06 +0800, BME280, 25.879999, 44.704102, 1021.669
2017-12-22 00:20:38 +0800, BME280, 25.889999, 44.659180, 1021.639
2017-12-22 00:21:09 +0800, BME280, 25.879999, 44.625977, 1021.622
2017-12-22 00:21:41 +0800, BME280, 25.879999, 44.625977, 1021.580
2017-12-22 00:22:12 +0800, BME280, 25.879999, 44.615234, 1021.635
2017-12-22 00:22:44 +0800, BME280, 25.879999, 44.591797, 1021.615
2017-12-22 00:23:15 +0800, BME280, 25.879999, 44.536133, 1021.639
2017-12-22 00:23:47 +0800, BME280, 25.879999, 44.514648, 1021.635
2017-12-22 00:24:18 +0800, BME280, 25.870001, 44.546875, 1021.600
2017-12-22 00:24:50 +0800, BME280, 25.879999, 44.558594, 1021.641
2017-12-22 00:25:21 +0800, BME280, 25.889999, 44.448242, 1021.633
2017-12-22 00:25:53 +0800, BME280, 25.910000, 44.459961, 1021.610
2017-12-22 00:26:24 +0800, BME280, 25.910000, 44.472656, 1021.607
2017-12-22 00:26:56 +0800, BME280, 25.889999, 44.481445, 1021.537
2017-12-22 00:27:27 +0800, BME280, 25.900000, 44.404297, 1021.545
2017-12-22 00:27:59 +0800, BME280, 25.900000, 44.336914, 1021.514
2017-12-22 00:28:31 +0800, BME280, 25.920000, 44.349609, 1021.527
2017-12-22 00:29:02 +0800, BME280, 25.940001, 44.318359, 1021.547
2017-12-22 00:29:34 +0800, BME280, 25.920000, 44.293945, 1021.525
2017-12-22 00:30:05 +0800, BME280, 25.930000, 44.249023, 1021.519
2017-12-22 00:30:37 +0800, BME280, 25.920000, 44.215820, 1021.510
2017-12-22 00:31:08 +0800, BME280, 25.930000, 44.170898, 1021.475
2017-12-22 00:31:40 +0800, BME280, 25.910000, 44.148438, 1021.491
2017-12-22 00:32:11 +0800, BME280, 25.930000, 44.115234, 1021.488
2017-12-22 00:32:43 +0800, BME280, 25.920000, 44.081055, 1021.456
2017-12-22 00:33:15 +0800, BME280, 25.950001, 44.027344, 1021.450
2017-12-22 00:33:46 +0800, BME280, 25.930000, 44.025391, 1021.428
2017-12-22 00:34:18 +0800, BME280, 25.950001, 43.959961, 1021.444
2017-12-22 00:34:49 +0800, BME280, 25.950001, 43.937500, 1021.476
2017-12-22 00:35:21 +0800, BME280, 25.950001, 43.881836, 1021.463
2017-12-22 00:35:52 +0800, BME280, 25.940001, 43.891602, 1021.443
2017-12-22 00:36:24 +0800, BME280, 25.930000, 43.879883, 1021.431
2017-12-22 00:36:55 +0800, BME280, 25.940001, 43.869141, 1021.426
2017-12-22 00:37:27 +0800, BME280, 25.930000, 43.824219, 1021.405
