DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa)
2018-01-16 00:00:17 +0800, BME280, 24.820000, 49.772461, 1012.943
2018-01-16 00:00:58 +0800, BME280, 24.820000, 49.750000, 1012.915
2018-01-16 00:01:32 +0800, BME280, 24.830000, 49.716797, 1012.916
2018-01-16 00:02:05 +0800, BME280, 24.830000, 49.717773, 1012.889
2018-01-16 00:02:42 +0800, BME280, 24.830000, 49.706055, 1012.902
2018-01-16 00:03:14 +0800, BME280, 24.830000, 49.717773, 1012.914
2018-01-16 00:03:48 +0800, BME280, 24.830000, 49.707031, 1012.919
2018-01-16 00:04:34 +0800, BME280, 24.840000, 49.685547, 1013.020
2018-01-16 00:05:20 +0800, BME280, 24.840000, 49.663086, 1013.012
2018-01-16 00:06:02 +0800, BME280, 24.840000, 49.663086, 1012.994
2018-01-16 00:06:34 +0800, BME280, 24.840000, 49.696289, 1012.973
2018-01-16 00:07:10 +0800, BME280, 24.840000, 49.696289, 1013.005
2018-01-16 00:07:45 +0800, BME280, 24.850000, 49.686523, 1012.971
2018-01-16 00:08:26 +0800, BME280, 24.850000, 49.719727, 1012.992
2018-01-16 00:09:01 +0800, BME280, 24.850000, 49.708984, 1012.995
2018-01-16 00:09:32 +0800, BME280, 24.850000, 49.719727, 1012.980
2018-01-16 00:10:13 +0800, BME280, 24.850000, 49.730469, 1012.963
2018-01-16 00:10:53 +0800, BME280, 24.850000, 49.730469, 1012.939
2018-01-16 00:12:43 +0800, BME280, 24.860001, 49.733398, 1012.959
2018-01-16 00:13:14 +0800, BME280, 24.870001, 49.744141, 1012.924
2018-01-16 00:13:59 +0800, BME280, 24.879999, 49.723633, 1012.957
2018-01-16 00:14:33 +0800, BME280, 24.879999, 49.711914, 1012.921
2018-01-16 00:15:08 +0800, BME280, 24.889999, 49.712891, 1013.000
2018-01-16 00:15:49 +0800, BME280, 24.889999, 49.713867, 1012.971
2018-01-16 00:16:23 +0800, BME280, 24.900000, 49.702148, 1012.967
2018-01-16 00:16:54 +0800, BME280, 24.889999, 49.702148, 1012.922
2018-01-16 00:17:31 +0800, BME280, 24.889999, 49.701172, 1012.943
2018-01-16 00:18:02 +0800, BME280, 24.889999, 49.723633, 1013.006
2018-01-16 00:18:46 +0800, BME280, 24.900000, 49.680664, 1012.958
2018-01-16 00:19:18 +0800, BME280, 24.900000, 49.680664, 1012.926
2018-01-16 00:19:49 +0800, BME280, 24.900000, 49.681641, 1012.953
2018-01-16 00:20:21 +0800, BME280, 24.900000, 49.681641, 1012.979
2018-01-16 00:20:52 +0800, BME280, 24.900000, 49.681641, 1012.981
2018-01-16 00:21:29 +0800, BME280, 24.910000, 49.682617, 1012.975
2018-01-16 00:22:07 +0800, BME280, 24.900000, 49.681641, 1012.942
2018-01-16 00:22:51 +0800, BME280, 24.910000, 49.682617, 1012.982
2018-01-16 00:23:23 +0800, BME280, 24.920000, 49.682617, 1012.987
2018-01-16 00:23:55 +0800, BME280, 24.920000, 49.693359, 1012.987
2018-01-16 00:24:27 +0800, BME280, 24.910000, 49.693359, 1012.982
2018-01-16 00:24:59 +0800, BME280, 24.920000, 49.682617, 1012.974
2018-01-16 00:25:31 +0800, BME280, 24.920000, 49.671875, 1012.973
2018-01-16 00:26:10 +0800, BME280, 24.920000, 49.671875, 1013.029
2018-01-16 00:26:44 +0800, BME280, 24.920000, 49.671875, 1012.986
2018-01-16 00:27:25 +0800, BME280, 24.920000, 49.671875, 1012.970
2018-01-16 00:28:05 +0800, BME280, 24.930000, 49.684570, 1012.975
2018-01-16 00:28:39 +0800, BME280, 24.920000, 49.694336, 1012.951
2018-01-16 00:29:17 +0800, BME280, 24.920000, 49.683594, 1012.991
2018-01-16 00:29:56 +0800, BME280, 24.930000, 49.717773, 1013.023
2018-01-16 00:30:37 +0800, BME280, 24.930000, 49.707031, 1013.022
2018-01-16 00:31:29 +0800, BME280, 24.930000, 49.717773, 1013.012
2018-01-16 00:32:03 +0800, BME280, 24.940001, 49.708008, 1013.061
2018-01-16 00:32:45 +0800, BME280, 24.930000, 49.707031, 1013.064
2018-01-16 00:33:17 +0800, BME280, 24.930000, 49.695312, 1013.013
2018-01-16 00:33:48 +0800, BME280, 24.940001, 49.718750, 1013.024
2018-01-16 00:34:21 +0800, BME280, 24.940001, 49.707031, 1013.013
2018-01-16 00:35:10 +0800, BME280, 24.940001, 49.718750, 1013.006
2018-01-16 00:35:44 +0800, BME280, 24.950001, 49.708008, 1013.029
2018-01-16 00:38:29 +0800, BME280, 24.950001, 49.731445, 1013.010
2018-01-16 00:40:03 +0800, BME280, 24.950001, 49.742188, 1012.996
2018-01-16 00:41:43 +0800, BME280, 24.959999, 49.765625, 1012.996
2018-01-16 00:42:21 +0800, BME280, 24.959999, 49.765625, 1012.973
2018-01-16 00:42:57 +0800, BME280, 24.959999, 49.788086, 1012.983
2018-01-16 00:43:33 +0800, BME280, 24.959999, 49.788086, 1012.942
2018-01-16 00:44:06 +0800, BME280, 24.959999, 49.788086, 1012.923
2018-01-16 00:44:41 +0800, BME280, 24.959999, 49.798828, 1012.940
2018-01-16 00:45:13 +0800, BME280, 24.969999, 49.789062, 1012.924
2018-01-16 00:45:45 +0800, BME280, 24.959999, 49.788086, 1012.928
2018-01-16 00:46:18 +0800, BME280, 24.959999, 49.810547, 1012.908
2018-01-16 00:46:55 +0800, BME280, 24.959999, 49.810547, 1012.924
2018-01-16 00:47:27 +0800, BME280, 24.969999, 49.843750, 1012.916
2018-01-16 00:48:05 +0800, BME280, 24.959999, 49.833008, 1012.917
2018-01-16 00:48:43 +0800, BME280, 24.969999, 49.833984, 1012.898
2018-01-16 00:49:15 +0800, BME280, 24.969999, 49.833008, 1012.911
2018-01-16 00:49:56 +0800, BME280, 24.959999, 49.833008, 1012.905
2018-01-16 00:50:32 +0800, BME280, 24.969999, 49.821289, 1012.879
2018-01-16 00:51:18 +0800, BME280, 24.980000, 49.812500, 1012.887
2018-01-16 00:52:58 +0800, BME280, 24.969999, 49.868164, 1012.883
2018-01-16 00:53:34 +0800, BME280, 24.980000, 49.879883, 1012.844
2018-01-16 00:54:16 +0800, BME280, 24.980000, 49.879883, 1012.838
2018-01-16 00:54:48 +0800, BME280, 24.980000, 49.901367, 1012.849
2018-01-16 00:55:20 +0800, BME280, 24.990000, 49.880859, 1012.880
2018-01-16 00:55:56 +0800, BME280, 24.990000, 49.891602, 1012.864
2018-01-16 00:56:35 +0800, BME280, 24.980000, 49.901367, 1012.835
2018-01-16 00:57:06 +0800, BME280, 24.990000, 49.891602, 1012.833
2018-01-16 00:58:49 +0800, BME280, 24.980000, 49.935547, 1012.819
2018-01-16 00:59:33 +0800, BME280, 24.990000, 49.947266, 1012.801
2018-01-16 01:00:05 +0800, BME280, 24.980000, 49.958008, 1012.799
2018-01-16 01:00:45 +0800, BME280, 24.990000, 49.969727, 1012.794
2018-01-16 01:01:16 +0800, BME280, 25.000000, 49.982422, 1012.781
2018-01-16 01:01:48 +0800, BME280, 25.000000, 49.948242, 1012.801
2018-01-16 01:02:19 +0800, BME280, 25.000000, 49.959961, 1012.763
2018-01-16 01:02:55 +0800, BME280, 25.000000, 49.948242, 1012.750
2018-01-16 01:03:31 +0800, BME280, 25.000000, 49.970703, 1012.788
2018-01-16 01:04:03 +0800, BME280, 25.000000, 49.970703, 1012.767
2018-01-16 01:04:36 +0800, BME280, 25.000000, 49.993164, 1012.734
2018-01-16 01:05:07 +0800, BME280, 25.000000, 50.015625, 1012.723
2018-01-16 01:05:40 +0800, BME280, 25.000000, 50.003906, 1012.698
2018-01-16 01:06:16 +0800, BME280, 25.010000, 50.005859, 1012.702
2018-01-16 01:06:47 +0800, BME280, 25.010000, 50.016602, 1012.668
2018-01-16 01:07:26 +0800, BME280, 25.010000, 50.039062, 1012.686
2018-01-16 01:07:58 +0800, BME280, 25.010000, 50.049805, 1012.667
2018-01-16 01:08:32 +0800, BME280, 25.010000, 50.061523, 1012.708
2018-01-16 01:09:10 +0800, BME280, 25.010000, 50.072266, 1012.698
2018-01-16 01:09:42 +0800, BME280, 25.010000, 50.072266, 1012.697
2018-01-16 01:10:22 +0800, BME280, 25.020000, 50.050781, 1012.729
2018-01-16 01:10:56 +0800, BME280, 25.020000, 50.073242, 1012.724
2018-01-16 01:11:31 +0800, BME280, 25.020000, 50.074219, 1012.708
2018-01-16 01:12:03 +0800, BME280, 25.020000, 50.062500, 1012.734
2018-01-16 01:12:37 +0800, BME280, 25.020000, 50.073242, 1012.672
2018-01-16 01:14:13 +0800, BME280, 25.020000, 50.108398, 1012.706
2018-01-16 01:14:51 +0800, BME280, 25.020000, 50.062500, 1012.710
2018-01-16 01:15:27 +0800, BME280, 25.020000, 50.085938, 1012.708
2018-01-16 01:16:09 +0800, BME280, 25.030001, 50.063477, 1012.695
2018-01-16 01:16:53 +0800, BME280, 25.030001, 50.096680, 1012.702
2018-01-16 01:17:25 +0800, BME280, 25.030001, 50.096680, 1012.682
2018-01-16 01:17:58 +0800, BME280, 25.030001, 50.096680, 1012.701
2018-01-16 01:18:42 +0800, BME280, 25.030001, 50.119141, 1012.687
2018-01-16 01:19:19 +0800, BME280, 25.030001, 50.109375, 1012.665
2018-01-16 01:19:51 +0800, BME280, 25.040001, 50.097656, 1012.696
2018-01-16 01:20:26 +0800, BME280, 25.040001, 50.131836, 1012.654
2018-01-16 01:20:57 +0800, BME280, 25.049999, 50.132812, 1012.673
2018-01-16 01:21:29 +0800, BME280, 25.030001, 50.175781, 1012.649
2018-01-16 01:22:01 +0800, BME280, 25.040001, 50.176758, 1012.647
2018-01-16 01:22:34 +0800, BME280, 25.040001, 50.175781, 1012.622
2018-01-16 01:23:05 +0800, BME280, 25.040001, 50.188477, 1012.651
2018-01-16 01:23:37 +0800, BME280, 25.040001, 50.175781, 1012.626
2018-01-16 01:24:10 +0800, BME280, 25.049999, 50.199219, 1012.648
2018-01-16 01:24:52 +0800, BME280, 25.049999, 50.188477, 1012.637
2018-01-16 01:25:32 +0800, BME280, 25.049999, 50.210938, 1012.621
2018-01-16 01:26:12 +0800, BME280, 25.040001, 50.198242, 1012.554
2018-01-16 01:26:43 +0800, BME280, 25.049999, 50.189453, 1012.587
2018-01-16 01:27:26 +0800, BME280, 25.040001, 50.176758, 1012.557
2018-01-16 01:27:58 +0800, BME280, 25.049999, 50.188477, 1012.552
2018-01-16 01:28:29 +0800, BME280, 25.049999, 50.188477, 1012.576
2018-01-16 01:29:15 +0800, BME280, 25.049999, 50.199219, 1012.506
2018-01-16 01:29:54 +0800, BME280, 25.059999, 50.177734, 1012.547
2018-01-16 01:30:30 +0800, BME280, 25.049999, 50.210938, 1012.532
2018-01-16 01:31:02 +0800, BME280, 25.049999, 50.211914, 1012.538
2018-01-16 01:31:42 +0800, BME280, 25.049999, 50.244141, 1012.603
2018-01-16 01:32:17 +0800, BME280, 25.059999, 50.211914, 1012.598
2018-01-16 01:33:03 +0800, BME280, 25.059999, 50.235352, 1012.616
