DateTime, Sensor, Temperature (Celcius), Relative Humidity (%), Pressure (hPa)
2018-01-04 00:00:30 +0800, BME280, 25.270000, 55.550781, 1015.800
2018-01-04 00:01:02 +0800, BME280, 25.270000, 55.496094, 1015.751
2018-01-04 00:01:34 +0800, BME280, 25.270000, 55.606445, 1015.732
2018-01-04 00:02:05 +0800, BME280, 25.270000, 55.496094, 1015.765
2018-01-04 00:02:37 +0800, BME280, 25.280001, 55.529297, 1015.750
2018-01-04 00:03:09 +0800, BME280, 25.280001, 55.506836, 1015.781
2018-01-04 00:03:41 +0800, BME280, 25.280001, 55.506836, 1015.754
2018-01-04 00:04:12 +0800, BME280, 25.280001, 55.518555, 1015.746
2018-01-04 00:04:44 +0800, BME280, 25.270000, 55.451172, 1015.770
2018-01-04 00:05:16 +0800, BME280, 25.280001, 55.484375, 1015.843
2018-01-04 00:05:48 +0800, BME280, 25.280001, 55.440430, 1015.922
2018-01-04 00:06:20 +0800, BME280, 25.270000, 55.484375, 1015.878
2018-01-04 00:06:51 +0800, BME280, 25.280001, 55.384766, 1015.903
2018-01-04 00:07:23 +0800, BME280, 25.290001, 55.374023, 1015.889
2018-01-04 00:07:55 +0800, BME280, 25.270000, 55.328125, 1015.913
2018-01-04 00:08:27 +0800, BME280, 25.299999, 55.419922, 1015.942
2018-01-04 00:08:59 +0800, BME280, 25.290001, 55.351562, 1015.912
2018-01-04 00:09:31 +0800, BME280, 25.290001, 55.408203, 1015.930
2018-01-04 00:10:02 +0800, BME280, 25.299999, 55.541992, 1015.959
2018-01-04 00:10:34 +0800, BME280, 25.280001, 55.473633, 1015.946
2018-01-04 00:11:06 +0800, BME280, 25.290001, 55.474609, 1015.991
2018-01-04 00:11:37 +0800, BME280, 25.299999, 55.419922, 1015.977
2018-01-04 00:12:09 +0800, BME280, 25.299999, 55.487305, 1015.975
2018-01-04 00:12:41 +0800, BME280, 25.299999, 55.364258, 1016.024
2018-01-04 00:13:12 +0800, BME280, 25.309999, 55.387695, 1016.028
2018-01-04 00:13:44 +0800, BME280, 25.299999, 55.464844, 1016.059
2018-01-04 00:14:16 +0800, BME280, 25.309999, 55.375000, 1016.068
2018-01-04 00:14:47 +0800, BME280, 25.299999, 55.375000, 1016.088
2018-01-04 00:15:19 +0800, BME280, 25.299999, 55.431641, 1016.054
2018-01-04 00:15:51 +0800, BME280, 25.299999, 55.397461, 1016.091
2018-01-04 00:16:23 +0800, BME280, 25.299999, 55.431641, 1016.080
2018-01-04 00:16:55 +0800, BME280, 25.309999, 55.419922, 1016.115
2018-01-04 00:17:26 +0800, BME280, 25.309999, 55.442383, 1016.039
2018-01-04 00:17:58 +0800, BME280, 25.309999, 55.455078, 1016.072
2018-01-04 00:18:29 +0800, BME280, 25.309999, 55.432617, 1016.037
2018-01-04 00:19:01 +0800, BME280, 25.290001, 55.408203, 1015.984
2018-01-04 00:19:32 +0800, BME280, 25.299999, 55.475586, 1016.012
2018-01-04 00:20:04 +0800, BME280, 25.299999, 55.464844, 1015.988
2018-01-04 00:20:36 +0800, BME280, 25.299999, 55.431641, 1015.940
2018-01-04 00:21:07 +0800, BME280, 25.309999, 55.420898, 1016.037
2018-01-04 00:21:39 +0800, BME280, 25.309999, 55.431641, 1016.014
2018-01-04 00:22:10 +0800, BME280, 25.290001, 55.474609, 1015.979
2018-01-04 00:22:42 +0800, BME280, 25.299999, 55.509766, 1016.004
2018-01-04 00:23:13 +0800, BME280, 25.299999, 55.475586, 1016.012
2018-01-04 00:23:45 +0800, BME280, 25.290001, 55.507812, 1016.018
2018-01-04 00:24:17 +0800, BME280, 25.290001, 55.463867, 1015.985
2018-01-04 00:24:48 +0800, BME280, 25.290001, 55.463867, 1015.984
2018-01-04 00:25:20 +0800, BME280, 25.299999, 55.498047, 1015.959
2018-01-04 00:25:52 +0800, BME280, 25.309999, 55.456055, 1016.013
2018-01-04 00:26:24 +0800, BME280, 25.320000, 55.467773, 1015.972
2018-01-04 00:26:55 +0800, BME280, 25.309999, 55.376953, 1015.965
2018-01-04 00:27:28 +0800, BME280, 25.299999, 55.464844, 1015.916
2018-01-04 00:28:01 +0800, BME280, 25.290001, 55.463867, 1015.913
2018-01-04 00:28:33 +0800, BME280, 25.309999, 55.455078, 1015.899
2018-01-04 00:29:05 +0800, BME280, 25.320000, 55.411133, 1015.925
2018-01-04 00:29:36 +0800, BME280, 25.309999, 55.420898, 1015.956
2018-01-04 00:30:08 +0800, BME280, 25.299999, 55.498047, 1015.942
2018-01-04 00:30:39 +0800, BME280, 25.309999, 55.533203, 1015.960
2018-01-04 00:31:11 +0800, BME280, 25.299999, 55.497070, 1015.947
2018-01-04 00:31:42 +0800, BME280, 25.299999, 55.498047, 1015.926
2018-01-04 00:32:14 +0800, BME280, 25.299999, 55.509766, 1015.923
2018-01-04 00:32:46 +0800, BME280, 25.299999, 55.520508, 1015.925
2018-01-04 00:33:18 +0800, BME280, 25.299999, 55.531250, 1015.937
2018-01-04 00:33:49 +0800, BME280, 25.290001, 55.519531, 1015.902
2018-01-04 00:34:21 +0800, BME280, 25.290001, 55.552734, 1015.907
2018-01-04 00:34:53 +0800, BME280, 25.290001, 55.552734, 1015.904
2018-01-04 00:35:24 +0800, BME280, 25.280001, 55.551758, 1015.912
2018-01-04 00:35:56 +0800, BME280, 25.290001, 55.564453, 1015.888
2018-01-04 00:36:28 +0800, BME280, 25.290001, 55.575195, 1015.896
2018-01-04 00:36:59 +0800, BME280, 25.290001, 55.584961, 1015.873
